age,sex,category,population
10,F,verwitwet,0
11,F,ledig,358
11,F,verheiratet,0
11,F,geschieden,0
11,F,verwitwet,0
12,F,ledig,367
12,F,verheiratet,0
12,F,geschieden,0
12,F,verwitwet,0
13,F,ledig,364
13,F,verheiratet,0
13,F,geschieden,0
13,F,verwitwet,0
14,F,ledig,356
14,F,verheiratet,0
14,F,geschieden,0
14,F,verwitwet,0
15,F,ledig,361
15,F,verheiratet,0
15,F,geschieden,0
15,F,verwitwet,0
16,F,ledig,369
16,F,verheiratet,0
16,F,geschieden,0
16,F,verwitwet,0
17,F,ledig,369
17,F,verheiratet,0
17,F,geschieden,0
17,F,verwitwet,0
18,F,ledig,376
18,F,verheiratet,1
18,F,geschieden,0
18,F,verwitwet,0
19,F,ledig,387
19,F,verheiratet,3
19,F,geschieden,0
19,F,verwitwet,0
20,F,ledig,409
20,F,verheiratet,6
20,F,geschieden,0
20,F,verwitwet,0
21,F,ledig,408
21,F,verheiratet,11
21,F,geschieden,0
21,F,verwitwet,0
22,F,ledig,415
22,F,verheiratet,18
22,F,geschieden,1
22,F,verwitwet,0
23,F,ledig,424
23,F,verheiratet,29
23,F,geschieden,1
23,F,verwitwet,0
24,F,ledig,411
24,F,verheiratet,42
24,F,geschieden,2
24,F,verwitwet,0
25,F,ledig,388
25,F,verheiratet,57
25,F,geschieden,3
25,F,verwitwet,0
26,F,ledig,375
26,F,verheiratet,77
26,F,geschieden,4
26,F,verwitwet,0
27,F,ledig,366
27,F,verheiratet,101
27,F,geschieden,6
27,F,verwitwet,0
28,F,ledig,346
28,F,verheiratet,129
28,F,geschieden,8
28,F,verwitwet,0
29,F,ledig,331
29,F,verheiratet,158
29,F,geschieden,10
29,F,verwitwet,0
30,F,ledig,331
30,F,verheiratet,198
30,F,geschieden,14
30,F,verwitwet,0
31,F,ledig,302
31,F,verheiratet,220
31,F,geschieden,17
31,F,verwitwet,1
32,F,ledig,282
32,F,verheiratet,247
32,F,geschieden,20
32,F,verwitwet,1
33,F,ledig,255
33,F,verheiratet,259
33,F,geschieden,23
33,F,verwitwet,1
34,F,ledig,234
34,F,verheiratet,271
34,F,geschieden,26
34,F,verwitwet,1
35,F,ledig,211
35,F,verheiratet,275
35,F,geschieden,29
35,F,verwitwet,1
36,F,ledig,196
36,F,verheiratet,284
36,F,geschieden,33
36,F,verwitwet,2
37,F,ledig,184
37,F,verheiratet,293
37,F,geschieden,37
37,F,verwitwet,2
38,F,ledig,175
38,F,verheiratet,308
38,F,geschieden,42
38,F,verwitwet,2
39,F,ledig,163
39,F,verheiratet,315
39,F,geschieden,46
39,F,verwitwet,3
40,F,ledig,154
40,F,verheiratet,322
40,F,geschieden,50
40,F,verwitwet,3
41,F,ledig,137
41,F,verheiratet,311
41,F,geschieden,52
41,F,verwitwet,3
42,F,ledig,129
42,F,verheiratet,309
42,F,geschieden,55
42,F,verwitwet,4
43,F,ledig,121
43,F,verheiratet,307
43,F,geschieden,59
43,F,verwitwet,4
44,F,ledig,112
44,F,verheiratet,305
44,F,geschieden,61
44,F,verwitwet,5
45,F,ledig,103
45,F,verheiratet,299
45,F,geschieden,62
45,F,verwitwet,5
46,F,ledig,99
46,F,verheiratet,305
46,F,geschieden,67
46,F,verwitwet,6
47,F,ledig,95
47,F,verheiratet,308
47,F,geschieden,70
47,F,verwitwet,7
48,F,ledig,98
48,F,verheiratet,333
48,F,geschieden,78
48,F,verwitwet,9
49,F,ledig,104
49,F,verheiratet,364
49,F,geschieden,88
49,F,verwitwet,10
50,F,ledig,102
50,F,verheiratet,379
50,F,geschieden,94
50,F,verwitwet,12
51,F,ledig,103
51,F,verheiratet,405
51,F,geschieden,103
51,F,verwitwet,14
52,F,ledig,102
52,F,verheiratet,423
52,F,geschieden,112
52,F,verwitwet,17
53,F,ledig,99
53,F,verheiratet,435
53,F,geschieden,116
53,F,verwitwet,20
54,F,ledig,95
54,F,verheiratet,448
54,F,geschieden,120
54,F,verwitwet,23
55,F,ledig,88
55,F,verheiratet,451
55,F,geschieden,121
55,F,verwitwet,26
56,F,ledig,84
56,F,verheiratet,460
56,F,geschieden,123
